Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
263,TEX,True,114,114,1.0,114,44640.25,205.75,16.96,2.72
264,TEX,True,101,101,1.0,101,52704.25,323.75,2.82,2.26
265,TEX,True,108,108,1.0,108,37212.25,216.75,9.35,5.35
266,TEX,True,100,100,1.0,100,32846.5,214.5,7.7,1.72
267,TEX,True,99,99,1.0,99,67481.25,255.25,11.8,1.92
268,TEX,True,116,116,1.0,116,65921.75,255.5,12.24,8.34
269,TEX,True,111,111,1.0,111,80403.5,320.25,15.46,3.25
270,TEX,True,124,124,1.0,124,88084.5,355.5,9.07,3.2
271,TEX,True,110,110,1.0,110,75128.25,280.5,5.77,5.08
272,TEX,True,103,103,1.0,103,90436.5,346.75,4.14,1.42
273,TEX,True,106,106,1.0,106,79364.75,287.5,5.68,2.29
274,TEX,True,90,90,1.0,90,78110.75,287.25,6.01,4.33
275,TEX,True,114,114,1.0,114,81776.75,306.75,7.61,3.76
276,TEX,True,99,99,1.0,99,48667.25,250.5,20.18,6.53
277,TEX,True,92,92,1.0,92,46832.0,244.5,5.65,3.46
278,TEX,True,106,106,1.0,106,69949.5,313.5,7.37,3.02
279,TEX,True,114,114,1.0,114,94924.5,287.0,11.26,1.46
280,TEX,True,118,118,1.0,118,89773.5,306.0,19.51,3.85
281,TEX,True,76,76,1.0,76,54725.0,201.5,12.81,5.62
282,TEX,True,103,103,1.0,103,89745.75,284.75,14.79,4.69
283,TEX,True,112,112,1.0,112,74443.0,239.0,7.92,-1.38
284,TEX,True,117,117,1.0,117,101727.75,334.75,10.53,3.39
285,TEX,True,106,106,1.0,106,45158.75,247.0,5.23,2.18
286,TEX,True,107,107,1.0,107,66299.75,343.75,4.71,1.43
287,TEX,True,107,107,1.0,107,39989.25,224.5,13.87,-0.22
288,TEX,True,106,106,1.0,106,56002.25,290.75,8.98,5.6
289,TEX,True,92,92,1.0,92,52254.0,289.5,4.02,1.7
290,TEX,True,106,106,1.0,106,58952.5,287.0,5.33,1.46
291,TEX,True,112,112,1.0,112,53995.25,190.0,22.68,14.22
292,TEX,True,78,78,1.0,78,61568.5,239.0,7.54,2.15
293,TEX,True,115,115,1.0,115,75193.75,265.25,5.26,0.75
294,TEX,True,99,99,1.0,99,84539.0,243.25,6.36,2.8
295,TEX,True,104,104,1.0,104,90698.5,261.75,7.26,2.42
296,TEX,True,92,92,1.0,92,109399.25,309.75,1.04,0.32
297,TEX,True,102,102,1.0,102,81801.75,258.25,8.97,3.82
298,TEX,True,110,110,1.0,110,82118.5,251.0,4.6,2.14
299,TEX,True,102,102,1.0,102,89068.5,280.25,8.26,4.92
300,TEX,True,105,105,1.0,105,66294.25,268.25,3.96,0.83
301,TEX,True,98,98,1.0,98,61735.25,262.25,10.07,3.58
302,TEX,True,113,113,1.0,113,69431.0,260.25,6.42,0.76
303,TEX,True,120,120,1.0,120,120432.0,371.5,4.04,1.52
304,TEX,True,96,96,1.0,96,84025.5,283.0,9.26,4.23
305,TEX,True,90,90,1.0,90,77157.25,263.75,5.94,2.85
306,TEX,True,113,113,1.0,113,71641.0,338.25,12.6,2.03
307,TEX,True,105,105,1.0,105,62538.5,299.75,11.89,2.99
308,TEX,True,102,102,1.0,102,37486.25,188.25,17.45,4.08
309,TEX,True,123,123,1.0,123,71198.75,341.25,4.18,1.94
310,TEX,True,104,104,1.0,104,65265.25,327.75,3.23,2.46
311,TEX,True,111,111,1.0,111,59228.25,297.25,5.72,1.0
312,TEX,True,114,114,1.0,114,73247.0,285.25,7.1,0.0
313,TEX,True,96,96,1.0,96,61668.75,254.75,11.44,6.86
314,TEX,True,112,112,1.0,112,119523.0,427.5,0.0,0.0
315,TEX,True,106,106,1.0,106,76784.25,287.5,5.4,4.64
316,TEX,True,103,103,1.0,103,55254.5,210.25,8.45,4.97
317,TEX,True,113,113,1.0,113,89772.75,336.5,6.32,0.66
318,TEX,True,99,99,1.0,99,77994.5,236.0,5.91,5.32
319,TEX,True,96,96,1.0,96,76444.0,241.75,5.02,4.16
320,TEX,True,107,107,1.0,107,99398.0,283.25,5.9,4.15
321,TEX,True,96,96,1.0,96,102366.5,264.0,8.14,5.29
322,TEX,True,88,88,1.0,88,97946.5,249.75,6.13,4.03
323,TEX,True,140,140,1.0,140,104183.75,297.25,12.49,3.18
