Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
101,True,97,97,1.0,97,24907.0,170.75,17.11,0.44
101,True,146,97,1.5,142,28725.5,171.25,4.4,0.15
101,True,194,97,2.0,184,27086.0,170.75,9.86,0.44
102,True,92,92,1.0,92,48512.0,209.25,17.07,4.89
102,True,138,92,1.5,118,50443.25,213.5,13.77,2.95
102,True,184,92,2.0,182,52306.25,216.5,10.59,1.59
103,True,97,97,1.0,97,42160.5,194.75,19.39,0.51
103,True,146,97,1.5,135,45030.5,193.75,13.91,1.02
103,True,194,97,2.0,183,45101.25,194.25,13.77,0.77
104,True,106,106,1.0,106,41817.0,192.25,17.38,-1.59
104,True,159,106,1.5,159,45647.5,186.25,9.81,1.59
104,True,212,106,2.0,212,46842.25,184.0,7.45,2.77
105,True,103,103,1.0,103,61160.0,192.5,8.08,6.55
105,True,155,103,1.5,155,59102.0,180.75,11.17,12.26
105,True,206,103,2.0,206,60223.0,198.0,9.49,3.88
106,True,115,115,1.0,115,87909.0,274.25,8.95,6.56
106,True,173,115,1.5,173,87451.25,267.25,9.42,8.94
106,True,230,115,2.0,230,88265.25,282.5,8.58,3.75
107,True,97,97,1.0,97,66255.5,208.25,9.21,8.06
107,True,146,97,1.5,145,66099.25,202.75,9.42,10.49
107,True,194,97,2.0,194,67724.75,221.25,7.2,2.32
108,True,112,112,1.0,112,58627.25,189.75,17.71,12.86
108,True,168,112,1.5,168,54242.0,188.0,23.86,13.66
108,True,224,112,2.0,223,48390.0,198.75,32.08,8.73
109,True,105,105,1.0,105,55605.75,181.0,4.24,1.9
109,True,158,105,1.5,158,51966.5,172.25,10.51,6.64
109,True,210,105,2.0,206,43663.75,192.25,24.8,-4.2
110,True,90,90,1.0,90,47731.0,156.0,16.61,10.09
110,True,135,90,1.5,135,45252.5,150.5,20.94,13.26
110,True,180,90,2.0,180,37427.0,159.5,34.62,8.07
111,True,113,113,1.0,113,66232.5,287.75,13.22,2.04
111,True,170,113,1.5,170,61629.5,283.5,19.25,3.49
111,True,226,113,2.0,218,60609.75,298.75,20.59,-1.7
112,True,100,100,1.0,100,42359.75,205.75,16.9,1.56
112,True,150,100,1.5,150,44076.5,207.5,13.54,0.72
112,True,200,100,2.0,200,38685.25,198.0,24.11,5.26
113,True,90,90,1.0,90,38156.25,179.75,21.05,1.1
113,True,135,90,1.5,105,35707.75,177.75,26.12,2.2
113,True,180,90,2.0,180,32839.25,176.25,32.05,3.03
114,True,98,98,1.0,98,50037.0,257.75,7.24,3.55
114,True,147,98,1.5,147,52024.0,254.0,3.56,4.96
114,True,196,98,2.0,196,45979.75,257.75,14.77,3.55
115,True,101,101,1.0,101,39742.75,224.75,19.44,3.02
115,True,152,101,1.5,144,43356.25,224.75,12.11,3.02
115,True,202,101,2.0,192,42841.75,233.75,13.16,-0.86
116,True,114,114,1.0,114,38485.5,212.5,22.82,-2.41
116,True,171,114,1.5,171,39631.5,216.5,20.52,-4.34
116,True,228,114,2.0,208,38747.0,222.5,22.3,-7.23
117,True,90,90,1.0,90,35050.5,173.75,14.03,1.28
117,True,135,90,1.5,115,34387.75,173.75,15.66,1.28
117,True,180,90,2.0,180,32491.25,180.0,20.31,-2.27
118,True,104,104,1.0,104,42459.25,211.25,19.29,2.65
118,True,156,104,1.5,156,44074.5,208.75,16.22,3.8
118,True,208,104,2.0,208,40349.25,208.25,23.3,4.03
119,True,106,106,1.0,106,38347.5,194.75,25.99,1.64
119,True,159,106,1.5,159,40805.5,190.0,21.24,4.04
119,True,212,106,2.0,190,34298.5,200.0,33.8,-1.01
120,True,106,106,1.0,106,39237.25,226.0,30.17,5.54
120,True,159,106,1.5,159,41800.75,223.25,25.61,6.69
120,True,212,106,2.0,212,41506.25,234.5,26.13,1.99
121,True,97,97,1.0,97,53004.75,257.5,2.45,0.96
121,True,146,97,1.5,146,47484.5,250.25,12.61,3.75
121,True,194,97,2.0,194,35836.75,255.0,34.04,1.92
122,True,99,99,1.0,99,37866.0,216.25,35.59,6.18
122,True,149,99,1.5,149,37972.5,211.25,35.41,8.35
122,True,198,99,2.0,196,33091.25,216.75,43.71,5.97
123,True,110,110,1.0,110,26304.25,159.0,30.75,-2.58
123,True,165,110,1.5,165,27853.75,155.25,26.67,-0.16
123,True,220,110,2.0,220,27063.75,155.75,28.75,-0.48
124,True,87,87,1.0,87,20350.5,136.25,43.49,11.24
124,True,131,87,1.5,120,19153.5,140.75,46.81,8.31
124,True,174,87,2.0,174,19042.5,145.75,47.12,5.05
125,True,111,111,1.0,111,46407.25,247.75,31.15,3.03
125,True,167,111,1.5,167,45488.25,243.25,32.52,4.79
125,True,222,111,2.0,210,45195.75,250.75,32.95,1.86
126,True,102,102,1.0,102,40642.0,227.0,18.28,1.63
126,True,153,102,1.5,153,41539.0,220.5,16.48,4.44
126,True,204,102,2.0,204,36917.0,216.5,25.77,6.18
