Instance,IsCarbonAware,SlackCoeff,Homogen_MaxMakeSpan,Heterogen_MaxMakeSpan
849,True,1.0,130,110.0
850,True,1.0,112,101.0
851,True,1.0,100,90.0
852,True,1.0,101,95.0
853,True,1.0,98,94.0
854,True,1.0,106,101.0
855,True,1.0,96,81.0
856,True,1.0,124,108.0
857,True,1.0,122,109.0
858,True,1.0,118,98.0
859,True,1.0,143,118.0
860,True,1.0,122,106.0
861,True,1.0,163,112.0
862,True,1.0,121,106.0
863,True,1.0,112,103.0
864,True,1.0,120,102.0
865,True,1.0,111,103.0
866,True,1.0,153,121.0
867,True,1.0,130,107.0
868,True,1.0,160,128.0
869,True,1.0,114,111.0
870,True,1.0,113,103.0
871,True,1.0,126,111.0
872,True,1.0,116,106.0
873,True,1.0,152,124.0
874,True,1.0,125,111.0
875,True,1.0,132,118.0
876,True,1.0,97,87.0
877,True,1.0,111,102.0
878,True,1.0,129,108.0
879,True,1.0,99,95.0
880,True,1.0,149,110.0
881,True,1.0,153,130.0
882,True,1.0,111,104.0
883,True,1.0,119,111.0
884,True,1.0,101,90.0
885,True,1.0,121,107.0
886,True,1.0,126,111.0
887,True,1.0,124,107.0
888,True,1.0,105,88.0
889,True,1.0,109,103.0
890,True,1.0,130,111.0
891,True,1.0,128,108.0
892,True,1.0,118,100.0
893,True,1.0,149,113.0
894,True,1.0,119,103.0
895,True,1.0,102,94.0
896,True,1.0,124,108.0
897,True,1.0,122,108.0
898,True,1.0,140,115.0
899,True,1.0,103,90.0
900,True,1.0,117,102.0
901,True,1.0,96,86.0
902,True,1.0,151,113.0
903,True,1.0,107,99.0
904,True,1.0,133,105.0
905,True,1.0,132,114.0
906,True,1.0,138,116.0
907,True,1.0,98,93.0
908,True,1.0,99,89.0
909,True,1.0,120,104.0
910,True,1.0,122,115.0
911,True,1.0,104,86.0
912,True,1.0,134,112.0
913,True,1.0,118,104.0
914,True,1.0,97,94.0
915,True,1.0,130,114.0
916,True,1.0,119,105.0
917,True,1.0,150,120.0
918,True,1.0,112,100.0
919,True,1.0,104,97.0
920,True,1.0,111,104.0
921,True,1.0,148,114.0
922,True,1.0,110,102.0
923,True,1.0,138,114.0
924,True,1.0,96,74.0
925,True,1.0,129,110.0
926,True,1.0,120,103.0
927,True,1.0,110,98.0
928,True,1.0,112,108.0
929,True,1.0,118,102.0
930,True,1.0,128,114.0
931,True,1.0,147,124.0
932,True,1.0,105,
933,True,1.0,118,93.0
934,True,1.0,104,99.0
935,True,1.0,129,109.0
936,True,1.0,107,99.0
937,True,1.0,102,93.0
938,True,1.0,83,73.0
939,True,1.0,115,105.0
940,True,1.0,156,122.0
941,True,1.0,109,99.0
942,True,1.0,110,102.0
943,True,1.0,158,126.0
944,True,1.0,108,97.0
945,True,1.0,129,111.0
946,True,1.0,124,103.0
947,True,1.0,118,104.0
948,True,1.0,120,104.0
949,True,1.0,100,94.0
950,True,1.0,100,89.0
951,True,1.0,113,100.0
952,True,1.0,96,90.0
953,True,1.0,97,92.0
954,True,1.0,160,121.0
955,True,1.0,125,116.0
956,True,1.0,132,112.0
957,True,1.0,141,120.0
958,True,1.0,108,102.0
959,True,1.0,124,101.0
960,True,1.0,103,93.0
961,True,1.0,118,108.0
962,True,1.0,107,93.0
963,True,1.0,114,104.0
964,True,1.0,109,98.0
965,True,1.0,113,110.0
966,True,1.0,89,76.0
967,True,1.0,108,100.0
968,True,1.0,124,108.0
969,True,1.0,113,104.0
970,True,1.0,105,97.0
971,True,1.0,99,76.0
972,True,1.0,107,96.0
973,True,1.0,113,105.0
974,True,1.0,118,111.0
975,True,1.0,147,115.0
976,True,1.0,120,101.0
977,True,1.0,123,113.0
978,True,1.0,116,110.0
979,True,1.0,116,95.0
980,True,1.0,98,94.0
981,True,1.0,127,104.0
982,True,1.0,113,102.0
