Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
94,True,216,108,2.0,216,37224.0,270.0,25.64,8.09
95,True,95,95,1.0,95,35467.25,244.25,12.24,6.24
95,True,143,95,1.5,143,29841.75,233.75,26.16,10.27
95,True,190,95,2.0,190,30586.75,229.5,24.32,11.9
96,True,100,100,1.0,100,74329.0,297.5,15.23,5.03
96,True,150,100,1.5,149,60947.0,290.5,30.49,7.26
96,True,200,100,2.0,200,48307.75,281.75,44.91,10.06
97,True,91,91,1.0,91,84334.5,284.0,6.77,3.07
97,True,137,91,1.5,137,51889.25,270.75,42.64,7.59
97,True,182,91,2.0,182,55066.5,263.0,39.12,10.24
98,True,82,82,1.0,82,77990.0,274.75,4.96,5.67
98,True,123,82,1.5,123,43069.25,268.5,47.51,7.81
98,True,164,82,2.0,164,42639.0,258.0,48.04,11.42
99,True,98,98,1.0,98,52502.75,223.5,31.13,4.79
99,True,147,98,1.5,147,31888.0,212.5,58.17,9.48
99,True,196,98,2.0,196,25920.0,207.5,66.0,11.61
100,True,110,110,1.0,110,101115.0,340.25,0.95,0.58
100,True,165,110,1.5,165,59910.75,333.0,41.31,2.7
100,True,220,110,2.0,220,40587.5,311.25,60.24,9.06
101,True,123,123,1.0,123,60397.25,333.0,23.71,0.97
101,True,185,123,1.5,185,55432.0,316.0,29.98,6.02
101,True,246,123,2.0,246,29246.5,309.5,63.06,7.96
102,True,90,90,1.0,90,47114.75,250.25,15.55,5.3
102,True,135,90,1.5,135,17384.25,245.25,68.84,7.19
102,True,180,90,2.0,180,15705.5,235.0,71.85,11.07
103,True,95,95,1.0,95,40317.25,237.25,5.86,7.32
103,True,143,95,1.5,143,17954.75,226.5,58.08,11.52
103,True,190,95,2.0,190,15113.25,221.25,64.71,13.57
104,True,119,119,1.0,119,49427.5,357.75,10.27,0.35
104,True,179,119,1.5,179,24425.0,347.25,55.66,3.27
104,True,238,119,2.0,238,24654.0,333.0,55.24,7.24
105,True,100,100,1.0,100,15276.0,225.5,-1.08,5.25
105,True,150,100,1.5,150,12414.0,213.0,17.86,10.5
105,True,200,100,2.0,200,12817.5,208.5,15.19,12.39
